                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4776,                 1.9046,                 1.3727,                0.34304,                 0.4027,                0.30724,                0.18518,                 1.4209,                 2.0235,                 1.5055,             0.00048305,             0.00048305,             0.00048305
                     35,                  1.479,                 1.8843,                  1.369,                0.33708,                0.41039,                0.29957,                0.18048,                 1.4021,                 2.1478,                  1.482,             0.00047605,             0.00047605,             0.00047605
                     36,                 1.4837,                  1.861,                 1.3648,                0.34203,                0.40486,                0.31285,                0.18911,                 1.4378,                 2.1352,                 1.5117,             0.00046905,             0.00046905,             0.00046905
                     37,                 1.4889,                 1.8745,                 1.3696,                0.33762,                0.41204,                 0.2997,                0.18604,                 1.3646,                 2.1118,                 1.4705,             0.00046205,             0.00046205,             0.00046205
                     38,                 1.4681,                 1.8466,                 1.3649,                0.35619,                0.39538,                0.31491,                0.18969,                 1.4321,                 2.0866,                 1.5122,             0.00045505,             0.00045505,             0.00045505
                     39,                 1.4623,                 1.8442,                 1.3615,                0.34357,                0.39555,                0.30351,                0.17831,                 1.4645,                  2.209,                 1.5313,             0.00044805,             0.00044805,             0.00044805
                     40,                 1.4466,                 1.8337,                 1.3556,                0.31042,                0.39889,                 0.2818,                0.17032,                 1.4386,                 2.1565,                  1.497,             0.00044105,             0.00044105,             0.00044105
                     41,                 1.4711,                 1.8198,                  1.352,                0.29876,                0.39848,                0.28046,                0.16772,                 1.4203,                 2.1927,                 1.4886,             0.00043406,             0.00043406,             0.00043406
                     42,                 1.4655,                 1.7991,                 1.3502,                0.34474,                0.40421,                0.29432,                0.17607,                 1.4393,                 2.3003,                 1.5269,             0.00042706,             0.00042706,             0.00042706
                     43,                 1.4714,                 1.8119,                 1.3569,                0.32857,                0.38516,                0.29326,                0.17855,                 1.4269,                 2.1693,                 1.5081,             0.00042006,             0.00042006,             0.00042006
                     44,                 1.4668,                 1.7742,                  1.352,                0.30445,                0.40703,                0.28792,                0.17572,                 1.4625,                 2.2225,                 1.5312,             0.00041306,             0.00041306,             0.00041306
                     45,                 1.4539,                 1.7677,                 1.3429,                0.30947,                0.39457,                0.27883,                0.16939,                 1.4312,                 2.2401,                 1.5151,             0.00040606,             0.00040606,             0.00040606
                     46,                 1.4338,                 1.7407,                 1.3405,                0.31178,                0.39394,                0.27492,                0.16535,                 1.4668,                 2.2159,                 1.5365,             0.00039906,             0.00039906,             0.00039906
                     47,                 1.4412,                 1.7295,                 1.3343,                 0.3476,                 0.3928,                0.30479,                0.18529,                  1.453,                 2.1451,                 1.5253,             0.00039206,             0.00039206,             0.00039206
                     48,                 1.4389,                 1.7266,                 1.3397,                0.33098,                0.36632,                0.28474,                0.17058,                 1.4711,                 2.2119,                 1.5568,             0.00038507,             0.00038507,             0.00038507
                     49,                 1.4316,                 1.7209,                 1.3356,                0.31528,                 0.4212,                0.29917,                0.17876,                 1.4683,                 2.2415,                 1.5407,             0.00037807,             0.00037807,             0.00037807
                     50,                 1.4395,                 1.7208,                 1.3369,                0.32101,                0.38864,                0.28692,                0.16938,                 1.4714,                 2.3265,                 1.5331,             0.00037107,             0.00037107,             0.00037107
                     51,                 1.4506,                 1.7169,                 1.3446,                0.33296,                0.37841,                0.29242,                0.17438,                 1.4761,                 2.2625,                 1.5419,             0.00036407,             0.00036407,             0.00036407
                     52,                 1.4329,                 1.6729,                 1.3263,                 0.3242,                0.37429,                0.26818,                0.16054,                 1.4587,                 2.2905,                 1.5428,             0.00035707,             0.00035707,             0.00035707
                     53,                 1.4508,                  1.673,                 1.3354,                0.35204,                0.37898,                0.29732,                0.17913,                 1.4482,                 2.2403,                 1.5353,             0.00035007,             0.00035007,             0.00035007
                     54,                 1.4329,                 1.6505,                 1.3233,                0.35181,                0.38762,                0.31257,                0.19065,                 1.4685,                 2.2324,                 1.5449,             0.00034307,             0.00034307,             0.00034307
                     55,                 1.4179,                  1.643,                 1.3136,                0.32186,                0.35409,                 0.2771,                0.16805,                 1.4508,                 2.3163,                 1.5173,             0.00033607,             0.00033607,             0.00033607
                     56,                 1.4183,                 1.6424,                 1.3193,                0.34897,                0.36315,                0.29387,                 0.1812,                  1.479,                 2.2851,                 1.5505,             0.00032908,             0.00032908,             0.00032908
